response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0127,0.0000,0.0000,0.0000,0.0082,0.0001,400,0.0990
0.0157,0.0000,0.0000,0.0000,0.0105,0.0001,400,0.0960
0.0155,0.0000,0.0000,0.0000,0.0103,0.0000,400,0.0964
0.0160,0.0000,0.0000,0.0000,0.0108,0.0000,400,0.0961
0.0164,0.0000,0.0000,0.0000,0.0113,0.0000,400,0.0959
0.0010,0.0000,0.0000,0.0000,0.0009,0.0000,400,0.1115
0.0137,0.0000,0.0000,0.0000,0.0083,0.0009,400,0.0991
0.0151,0.0000,0.0000,0.0000,0.0104,0.0000,400,0.0979
0.0141,0.0000,0.0000,0.0000,0.0095,0.0000,400,0.0991
0.0023,0.0000,0.0000,0.0000,0.0022,0.0000,400,0.1111
0.0019,0.0000,0.0000,0.0000,0.0017,0.0000,400,0.1118
0.0021,0.0000,0.0000,0.0000,0.0019,0.0000,400,0.1118
0.0072,0.0000,0.0000,0.0000,0.0070,0.0000,400,0.1069
0.0067,0.0000,0.0000,0.0000,0.0065,0.0001,400,0.1085
0.0206,0.0000,0.0000,0.0000,0.0149,0.0001,400,0.0946
0.0065,0.0000,0.0000,0.0000,0.0063,0.0000,400,0.1088
0.0064,0.0000,0.0000,0.0000,0.0062,0.0000,400,0.1090
